,[a] 0.46296,[b] 0.92593,[c] 1.38889,[d] 1.85184,[e] 2.3148,[f] 3.19442,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1.325,8.40E-05,9.61E-05,9.80E-05,9.63E-05,9.02E-05,7.21E-05,0,1.24E-05,4.39E-06,8.18E-06,0,4.79E-06,-1.91E-04,-1.70E-04,1.79E-04,-1.75E-04,-2.61E-05,-2.93E-05,4.27E-05,-1.99E-05
1.349,8.39E-05,9.63E-05,9.86E-05,9.61E-05,8.99E-05,7.22E-05,-2.99E-06,4.19E-06,1.30E-05,0,-1.06E-05,0,2.58E-04,-1.70E-04,-1.83E-04,-2.58E-04,4.38E-07,-2.86E-05,-1.73E-05,-1.07E-05
1.373,8.39E-05,9.63E-05,9.86E-05,9.63E-05,8.97E-05,7.21E-05,1.24E-05,4.19E-06,-4.39E-06,-4.19E-06,1.06E-05,0,3.82E-04,-1.75E-04,-3.62E-04,1.75E-04,1.69E-05,-5.11E-06,-4.36E-05,-1.21E-06
1.397,8.44E-05,9.65E-05,9.84E-05,9.59E-05,9.04E-05,7.22E-05,1.54E-05,-4.19E-06,-4.39E-06,8.38E-06,1.06E-05,0,-1.95E-04,-1.75E-04,3.70E-04,2.62E-04,8.31E-06,1.11E-05,2.26E-05,2.35E-05
1.421,8.46E-05,9.61E-05,9.84E-05,9.67E-05,9.02E-05,7.21E-05,2.99E-06,-4.19E-06,1.34E-05,8.38E-06,-3.59E-06,-2.39E-06,-3.82E-04,2.62E-04,2.74E-04,-8.73E-05,-6.82E-07,2.38E-05,1.24E-06,7.81E-06
1.445,8.46E-05,9.63E-05,9.90E-05,9.63E-05,9.02E-05,7.21E-05,-2.99E-06,8.38E-06,8.78E-06,4.19E-06,7.38E-06,2.39E-06,-1.91E-04,1.75E-04,-3.74E-04,-2.62E-04,1.09E-06,6.28E-06,-2.99E-05,-3.19E-05
1.469,8.44E-05,9.65E-05,9.88E-05,9.69E-05,9.06E-05,7.22E-05,-6.19E-06,4.19E-06,-4.59E-06,-4.19E-06,0,2.39E-06,1.25E-04,-2.62E-04,4.16E-06,-8.73E-05,1.31E-05,-2.11E-05,4.56E-06,-4.27E-06
1.493,8.43E-05,9.65E-05,9.88E-05,9.61E-05,9.02E-05,7.22E-05,2.99E-06,-4.19E-06,8.98E-06,1.56E-19,-3.79E-06,-2.39E-06,1.95E-04,1.75E-04,9.56E-05,3.49E-04,3.62E-06,-6.11E-06,-6.47E-06,1.16E-05
1.517,8.46E-05,9.63E-05,9.92E-05,9.69E-05,9.04E-05,7.21E-05,3.19E-06,1.26E-05,8.30E-20,1.26E-05,1.82E-05,4.59E-06,-1.25E-04,4.37E-04,-2.79E-04,1.75E-04,-2.96E-05,2.50E-05,-1.67E-05,6.23E-06
1.541,8.44E-05,9.71E-05,9.88E-05,9.67E-05,9.11E-05,7.24E-05,-2.99E-06,1.68E-05,-4.39E-06,8.38E-06,3.79E-06,6.98E-06,-6.65E-05,-1.75E-04,3.74E-04,-1.75E-04,-3.75E-05,1.16E-05,3.99E-05,2.07E-06
1.565,8.44E-05,9.71E-05,9.90E-05,9.73E-05,9.06E-05,7.24E-05,0,4.19E-06,1.80E-05,4.19E-06,-1.08E-05,2.39E-06,3.24E-04,-1.70E-04,1.83E-04,-1.75E-04,-1.90E-05,-4.25E-06,8.47E-06,-1.53E-05
1.589,8.44E-05,9.73E-05,9.97E-05,9.69E-05,9.06E-05,7.25E-05,1.26E-05,8.58E-06,4.39E-06,0,1.08E-05,0,3.28E-04,-8.73E-05,-4.70E-04,-8.73E-05,6.90E-06,-1.90E-05,-5.56E-05,1.01E-05
1.613,8.50E-05,9.76E-05,9.92E-05,9.73E-05,9.11E-05,7.24E-05,1.58E-05,0,-4.59E-06,0,7.18E-06,0,-2.62E-04,-2.70E-04,9.56E-05,9.15E-05,2.52E-05,-5.64E-05,1.25E-05,1.21E-05
1.637,8.52E-05,9.73E-05,9.94E-05,9.69E-05,9.09E-05,7.25E-05,0,-4.39E-06,8.98E-06,4.39E-06,-3.59E-06,-2.39E-06,-4.61E-04,0,9.56E-05,1.75E-04,3.70E-05,-5.13E-05,5.63E-05,-1.40E-05
1.661,8.50E-05,9.73E-05,9.97E-05,9.76E-05,9.09E-05,7.23E-05,-6.39E-06,0,0,8.38E-06,7.38E-06,-4.79E-06,-1.33E-04,1.83E-04,-1.87E-04,-1.83E-04,3.02E-05,9.56E-06,-7.72E-08,-1.22E-05
1.685,8.49E-05,9.73E-05,9.94E-05,9.73E-05,9.13E-05,7.23E-05,-6.39E-06,4.39E-06,0,-4.39E-06,7.38E-06,2.39E-06,2.00E-04,0,2.83E-04,4.16E-06,4.78E-06,3.28E-05,7.09E-06,2.63E-05
1.709,8.47E-05,9.76E-05,9.97E-05,9.73E-05,9.13E-05,7.24E-05,3.19E-06,0,1.36E-05,8.58E-06,-7.38E-06,2.39E-06,2.66E-04,-9.15E-05,9.15E-05,1.83E-04,-2.10E-05,4.70E-05,3.82E-05,8.92E-05
1.733,8.50E-05,9.73E-05,1.00E-04,9.78E-05,9.09E-05,7.24E-05,6.39E-06,4.07E-20,4.39E-06,4.39E-06,3.59E-06,0,-1.33E-04,9.15E-05,-3.78E-04,4.16E-06,-4.09E-05,9.67E-05,4.22E-05,1.24E-04
1.757,8.50E-05,9.76E-05,9.99E-05,9.76E-05,9.14E-05,7.24E-05,-3.19E-06,4.39E-06,-4.59E-06,8.78E-06,1.48E-05,0,-1.84E-18,8.73E-05,1.95E-04,-9.15E-05,-5.78E-05,1.26E-04,3.91E-05,1.31E-04
1.781,8.49E-05,9.76E-05,9.99E-05,9.82E-05,9.16E-05,7.24E-05,6.39E-06,4.19E-06,1.38E-05,0,-1.10E-05,2.39E-06,3.33E-04,-4.16E-06,3.82E-04,-2.74E-04,-6.93E-05,1.23E-04,2.70E-05,9.97E-05
1.805,8.54E-05,9.78E-05,1.01E-04,9.76E-05,9.09E-05,7.25E-05,1.28E-05,4.19E-06,1.38E-05,-4.39E-06,-7.38E-06,2.39E-06,0,1.83E-04,-3.82E-04,1.79E-04,-7.27E-05,7.82E-05,3.85E-06,2.00E-05
1.829,8.55E-05,9.78E-05,1.01E-04,9.80E-05,9.13E-05,7.25E-05,6.39E-06,1.30E-05,-4.59E-06,8.58E-06,1.84E-05,0,-3.99E-04,2.74E-04,-1.91E-04,3.62E-04,-6.55E-05,-2.08E-05,-3.23E-05,-1.19E-04
1.853,8.57E-05,9.84E-05,1.00E-04,9.80E-05,9.18E-05,7.25E-05,-6.39E-06,1.74E-05,4.59E-06,1.30E-05,1.10E-05,0,-3.99E-04,-3.58E-04,2.87E-04,-1.79E-04,-4.53E-05,-1.84E-04,-8.34E-05,-3.28E-04
1.877,8.52E-05,9.86E-05,1.01E-04,9.86E-05,9.18E-05,7.25E-05,-1.28E-05,-4.19E-06,9.18E-06,0,-7.38E-06,6.98E-06,-7.65E-17,-7.19E-04,-9.56E-05,-8.11E-04,-9.52E-06,-4.24E-04,-1.52E-04,-6.19E-04
1.901,8.50E-05,9.82E-05,1.01E-04,9.80E-05,9.14E-05,7.29E-05,-6.39E-06,-1.72E-05,0,-2.59E-05,-1.48E-05,1.40E-05,2.66E-04,-5.40E-04,-3.82E-04,-0.001080912,4.44E-05,-7.50E-04,-2.39E-04,-0.001000223
